name,highway,maxspeed,travel_time,lanes_cleaned,capacity_vph
Marzellgasse,residential,30,8.681956184106177,1,1800
Feuerhausstraße,residential,30,12.750116744299971,1,1800
Altostraße,secondary,50,6.997539523187609,1,1800
Altostraße,secondary,50,4.43106261932188,1,1800
Marzellgasse,residential,30,8.681956184106179,1,1800
Altostraße,secondary,50,4.431062619321879,1,1800
Altostraße,secondary,50,9.509486657749267,1,1800
Rassogasse,residential,30,13.85635318063664,1,1800
Ubostraße,tertiary,30,10.284781506491568,1,1800
Ubostraße,tertiary,30,16.25090130159339,1,1800
Spieltränkergasse,residential,30,14.539261708823377,1,1800
Ubostraße,tertiary,30,8.908372563563091,1,1800
Ubostraße,tertiary,30,16.25090130159339,1,1800
Ubostraße,tertiary,30,3.7605854493907995,1,1800
Germeringer Weg,tertiary,30,3.5495177946665777,1,1800
Ubostraße,tertiary,30,3.6828061265878063,1,1800
Germeringer Weg,tertiary,30,3.417271418469265,1,1800
Ubostraße,tertiary,30,4.6013214403936695,1,1800
Ubostraße,tertiary,30,3.6828061265878063,1,1800
Germeringer Weg,tertiary,30,3.417271418469265,1,1800
Germeringer Weg,tertiary,30,8.76431492873724,1,1800
Germeringer Weg,tertiary,30,3.5495177946665777,1,1800
Germeringer Weg,tertiary,30,5.781746449640076,1,1800
Gotzmannstraße,living_street,,6.988315849459621,1,1800
Germeringer Weg,tertiary,30,8.76431492873724,1,1800
Germeringer Weg,tertiary,30,5.781746449640076,1,1800
Belandwiesenweg,residential,30,13.360947064763748,1,1800
Germeringer Weg,tertiary,30,10.141327509330484,1,1800
Georg-Böhmer-Straße,residential,30,14.308378044060657,1,1800
Germeringer Weg,tertiary,30,7.016935663646065,1,1800
Germeringer Weg,tertiary,30,8.313390651003141,1,1800
Belandwiesenweg,residential,30,13.360947064763748,1,1800
Georg-Böhmer-Straße,residential,30,14.308378044060657,1,1800
Georg-Böhmer-Straße,residential,30,38.20534912393057,1,1800
Georg-Böhmer-Straße,residential,30,3.8334732312661073,1,1800
Georg-Böhmer-Straße,residential,30,4.5002893627628096,1,1800
Georg-Böhmer-Straße,residential,30,38.20534912393058,1,1800
Aubing-Ost-Straße,residential,30,25.30440173204334,1,1800
Altostraße,secondary,30,8.571002528789752,2,3600
Limesstraße,secondary,30,11.520945780671742,2,3600
Altostraße,secondary,30,8.571002528789752,2,3600
Altostraße,secondary,30,4.154722129886481,2,3600
Georg-Böhmer-Straße,residential,30,4.5002893627628096,1,1800
,motorway_link,none,13.745918444785305,1,1800
,motorway_link,none,10.604874241598383,2,3600
,motorway_link,80,10.765140885147002,2,3600
Limesstraße,tertiary,50,5.9789361327093475,2,3600
Limesstraße,tertiary,50,5.261932810893057,2,3600
Stierberger Straße,residential,30,9.500555669970039,1,1800
Limesstraße,tertiary,50,5.9789361327093475,2,3600
Limesstraße,tertiary,50,4.983189793496842,2,3600
Rothenbühler Straße,residential,30,27.868157454615766,1,1800
Limesstraße,tertiary,50,1.013220214100121,2,3600
Aufseßer Straße,residential,30,9.567715964295116,1,1800
Limesstraße,tertiary,50,14.53935874062145,3,5400
Bodenseestraße,primary,50,43.17910409022503,3,5400
Brunhamstraße,tertiary,50,8.583225262590897,3,5400
Limesstraße,tertiary,50,8.26103723066848,3,5400
Bodenseestraße,primary,50,31.402324747993795,5,9000
Aufseßer Platz,residential,30,17.017201096202626,1,1800
Bodenseestraße,primary,50,31.4023247479938,5,9000
Bodenseestraße,primary,50,19.772231922303714,2,3600
Aufseßer Platz,residential,30,6.6225544404827295,1,1800
Aufseßer Platz,residential,30,17.017201096202626,1,1800
Giechstraße,residential,30,30.46937152458823,1,1800
Giechstraße,residential,30,11.916672693513805,1,1800
Wiesenthauer Straße,residential,30,6.813662346631805,1,1800
Giechstraße,residential,30,20.68468030203674,1,1800
Giechstraße,residential,30,30.469371524588222,1,1800
Aufseßer Platz,residential,30,6.6225544404827295,1,1800
"['Aufseßer Platz', 'Aufseßer Straße']",residential,30,11.720398173006135,1,1800
Aufseßer Platz,residential,30,2.6434327846752894,1,1800
Am Zillerhof,tertiary,50,4.4265512858803095,2,3600
Olchinger Straße,secondary,50,9.256031989620887,2,3600
Olchinger Straße,secondary,50,5.5324450343686635,2,3600
Olchinger Straße,secondary,50,9.256031989620887,2,3600
Friedenstraße,residential,30,18.242754439532877,1,1800
Olchinger Straße,secondary,50,30.16613948442329,3,5400
Zillerhofstraße,tertiary,50,18.362831652796462,2,3600
Eschenrieder Straße,tertiary,50,26.038117071126695,2,3600
Eschenrieder Straße,tertiary,50,14.302330414506057,2,3600
Bahnweg,unclassified,,88.31009850837943,1,1800
Eschenrieder Straße,tertiary,50,49.05044236654019,2,3600
Eschenrieder Straße,tertiary,50,26.0381170711267,2,3600
Gröbenzeller Straße,tertiary,50,22.089682242545585,1,1800
Bahnweg,unclassified,,88.31009850837944,1,1800
Graßlfinger Straße,unclassified,"['30', '50']",8.84615647838418,1,1800
Forstweg,residential,,1.4026016236322005,1,1800
Gröbenzeller Straße,tertiary,50,2.909251874759062,1,1800
Gröbenzeller Straße,tertiary,50,22.089682242545585,1,1800
Gröbenzeller Straße,tertiary,50,3.3232576193707972,1,1800
Dietschweg,unclassified,,27.973358233319587,1,1800
Gröbenzeller Straße,tertiary,50,2.909251874759062,1,1800
,trunk_link,,22.5152623171227,1,1800
,trunk,100,9.139877692743331,3,5400
,trunk,"['100', '80']",79.23368139280092,5,9000
,trunk_link,,17.97089866995822,1,1800
,trunk,80,5.633971235503666,4,7200
,trunk,80,10.076755694387403,2,3600
,trunk_link,,4.212862310882976,1,1800
,trunk,100,2.476293835618579,2,3600
,trunk,"['100', '80']",65.74413191702024,3,5400
,trunk_link,,3.3472868426803553,1,1800
,trunk_link,,4.375994681498272,1,1800
,secondary,70,1.4856397309011173,1,1800
,trunk_link,,1.9296922829016034,1,1800
Bajuwarenstraße,secondary,70,31.218484826915518,3,5400
Hochstraße,unclassified,,1.9020718950800846,1,1800
,secondary,70,1.4856397309011173,1,1800
Bajuwarenstraße,secondary,70,16.237735966315473,2,3600
,trunk_link,,2.9190694775434873,1,1800
Bajuwarenstraße,secondary,50,1.0823836199941397,3,5400
,secondary_link,50,3.997467945363709,1,1800
Bajuwarenstraße,secondary,"['70', '50']",9.932540686503982,4,7200
Kopernikusstraße,residential,50,2.095348634824314,1,1800
Kopernikusstraße,residential,50,10.052851208438502,2,3600
Kopernikusstraße,residential,50,1.3560192832470512,1,1800
Kopernikusstraße,residential,50,17.256048998606524,1,1800
Kopernikusstraße,residential,50,17.256048998606524,1,1800
Fraunhoferstraße,residential,50,2.1931081007382294,1,1800
Am Hörhammermoos,residential,,2.19110812524069,1,1800
Fraunhoferstraße,residential,50,1.9425629134444273,1,1800
Fraunhoferstraße,residential,50,0.9451576049205593,1,1800
Fraunhoferstraße,residential,50,16.734304424632125,3,5400
Alte Römerstraße,secondary,50,2.7769755730364833,4,7200
Schwarzhölzlstraße,"['living_street', 'residential']",,31.59356709342986,1,1800
Alte Römerstraße,secondary,50,6.88644642856282,3,5400
Alte Römerstraße,secondary,50,3.9420227088811264,3,5400
"['Marienburger Straße', 'Paula-Wimmer-Straße']",living_street,,37.35660378310416,1,1800
Alte Römerstraße,secondary,50,6.88644642856282,3,5400
Alte Römerstraße,secondary,50,10.050655186888035,4,7200
Fraunhoferstraße,residential,50,11.170081257792353,4,7200
Sudetenlandstraße,tertiary,50,5.160657293466535,3,5400
Alte Römerstraße,secondary,50,5.6275740191832755,4,7200
,trunk,"['100', '70']",19.778867525089886,1,1800
,trunk,100,48.54300853621442,2,3600
,primary,70,3.4195435293863095,3,5400
Schleißheimer Straße,secondary,70,32.00423694481757,2,3600
,primary,70,3.4195435293863095,3,5400
,"['trunk', 'trunk_link']",100,21.704605847481975,1,1800
Dachauer Straße,primary,70,31.840086536257846,4,7200
,motorway_link,,3.808106505832992,1,1800
Dachauer Straße,primary,70,3.15785495302425,3,5400
Dachauer Straße,primary,70,19.90777704778712,3,5400
,motorway_link,,9.113433285322834,1,1800
,motorway_link,,3.380776510082091,2,3600
,motorway_link,,51.06433126324387,1,1800
,motorway,none,41.1436405619036,3,5400
,motorway_link,,12.896616887256254,2,3600
,motorway,none,6.601865391264495,4,7200
,motorway,none,95.62916674718099,6,10800
,motorway_link,,3.9468261968414136,2,3600
,motorway,none,11.613326336098579,4,7200
,motorway_link,100,8.273256304800745,2,3600
,motorway,none,42.3095166551693,3,5400
,motorway,none,94.29908186364983,6,10800
,motorway_link,"['60', '100', '80']",11.579180563195772,2,3600
,motorway,none,45.11370761433512,3,5400
,motorway,none,73.84690087935228,5,9000
,motorway_link,60,23.40508149192168,2,3600
,motorway,none,10.390440567281182,3,5400
,motorway,none,113.2849253681023,4,7200
